num,name,explain,address
10,일광광산채굴마을,"[0.07042150732057863, 0.08929215230315216, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4489894643624177, 0.5249620835295493, 0.0, 0.4489894643624177, 0.0, 0.0, 0.13928806541203587, 0.13928806541203587, 0.0, 0.0, 0.0, 0.13928806541203587, 0.0, 0.12466519823303072, 0.0, 0.0, 0.0, 0.13124052088238733, 0.29932630957494516, 0.0, 0.11910584214642508, 0.0, 0.0, 0.09966724167858887, 0.5249620835295493, 0.0, 0.0, 0.0, 0.13928806541203587, 0.0, 0.13124052088238733, 0.0, 0.0, 0.0, 0.0, 0.5249620835295493, 0.0, 0.13928806541203587, 0.0, 0.09678054721449748, 0.0, 0.0, 0.0, 0.13124052088238733, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14966315478747258, 0.0, 0.0, 0.0, 0.0, 0.13928806541203587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14966315478747258, 0.0, 0.13928806541203587, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07319706324385512, 0.0, 0.5249620835295493, 0.0, 0.0, 0.0, 0.4489894643624177, 0.0, 0.0, 0.29932630957494516, 0.0, 0.0, 0.0]",부산광역시 기장군 일광면 달음길
11,아비동비석문화마을,"[0.0, 0.15951536285514406, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1692966939342109, 0.0, 0.1692966939342109, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1692966939342109, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1819070229335942, 0.13891310444821356, 0.0, 0.28953270682582655, 0.0, 0.1692966939342109, 0.1692966939342109, 0.0, 0.15152343344759686, 0.1692966939342109, 0.0, 0.0, 0.15951536285514406, 0.0, 0.1819070229335942, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1819070229335942, 0.15152343344759686, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1819070229335942, 0.14476635341291327, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.08896685280408258, 0.1692966939342109, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1819070229335942, 0.1819070229335942, 0.0, 0.0, 0.0, 0.13891310444821356, 0.1819070229335942, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14476635341291327, 0.0, 0.0, 0.0, 0.28953270682582655, 0.15951536285514406, 0.0, 0.1819070229335942, 0.0, 0.0, 0.0, 0.0, 0.1819070229335942, 0.0, 0.0]",부산광역시 서구 아미동2가 213-39
12,구포만세역사테마거리,"[0.15372589794372454, 0.09745968820038804, 0.3040574356188534, 0.39000129145813334, 0.0, 0.0, 0.163352814602931, 0.0, 0.0, 0.163352814602931, 0.13606829979841167, 0.0, 0.0, 0.163352814602931, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14324506593848174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1520287178094267, 0.0, 0.0, 0.163352814602931, 0.0, 0.0, 0.3040574356188534, 0.39000129145813334, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.39000129145813334, 0.1520287178094267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1520287178094267, 0.14324506593848174, 0.1520287178094267, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12474420300490738, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1520287178094267, 0.0, 0.0, 0.0, 0.0, 0.14324506593848174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14324506593848174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15372589794372454, 0.0, 0.0, 0.1520287178094267, 0.163352814602931, 0.0, 0.0, 0.14324506593848174, 0.0, 0.0, 0.0, 0.0, 0.163352814602931, 0.0, 0.14324506593848174, 0.0, 0.163352814602931, 0.0, 0.0, 0.0, 0.0]",부산광역시 북구 구포동 305-2
13,흰여울문화마을,"[0.0, 0.0, 0.0, 0.10744039923697335, 0.0, 0.0, 0.0, 0.0, 0.1901986932506231, 0.0, 0.0, 0.2283374740650023, 0.0, 0.21250844985025844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18171691743849328, 0.21250844985025844, 0.21250844985025844, 0.2953115043040212, 0.20023050480135862, 0.0, 0.17436966903587925, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2283374740650023, 0.11167499812370052, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2953115043040212, 0.0, 0.0, 0.21250844985025844, 0.0, 0.0, 0.0, 0.0, 0.2283374740650023, 0.0, 0.0, 0.0, 0.21250844985025844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21250844985025844, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2283374740650023, 0.21250844985025844, 0.2283374740650023, 0.0, 0.0, 0.0]",부산광역시 영도구 영선동4가 1043
14,가덕도외양포일본군포진지,"[0.271578969840097, 0.3097013416810925, 0.14411596761917944, 0.0, 0.15485067084054624, 0.0, 0.271578969840097, 0.14411596761917944, 0.0, 0.0, 0.14411596761917944, 0.15485067084054624, 0.0, 0.15146833384562075, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15485067084054624, 0.0, 0.0, 0.0, 0.15146833384562075, 0.0, 0.0, 0.0, 0.0, 0.3097013416810925, 0.1182515499701258, 0.14411596761917944, 0.15485067084054624, 0.0, 0.1357894849200485, 0.20027016912427836, 0.0, 0.0, 0.0, 0.0, 0.14411596761917944, 0.0, 0.0, 0.14411596761917944, 0.0, 0.0, 0.14411596761917944, 0.3097013416810925, 0.15485067084054624, 0.0, 0.0, 0.1138565387638058, 0.0, 0.0, 0.0, 0.08597463156667591, 0.0, 0.15485067084054624, 0.0, 0.15485067084054624, 0.0, 0.0, 0.0, 0.0, 0.15485067084054624, 0.0, 0.0, 0.0, 0.0, 0.07573416692281038, 0.0, 0.0, 0.0, 0.14411596761917944, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20027016912427836, 0.09238713232107218, 0.0, 0.0, 0.0, 0.15485067084054624, 0.15485067084054624, 0.0, 0.0, 0.0, 0.0, 0.1357894849200485, 0.0, 0.3097013416810925, 0.15485067084054624, 0.15485067084054624, 0.0, 0.0, 0.15485067084054624, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15485067084054624, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15485067084054624, 0.0, 0.1099250672709949, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",부산광역시 강서구 대항동 산13-23
15,가덕도등대,"[0.3049687126735586, 0.0, 0.45745306901033783, 0.0, 0.0, 0.14484468960006838, 0.17388905249432132, 0.0, 0.17388905249432132, 0.0, 0.0, 0.0, 0.16183455275054334, 0.17388905249432132, 0.0, 0.0, 0.17388905249432132, 0.17009086826901876, 0.0, 0.17388905249432132, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14484468960006838, 0.0, 0.0, 0.12343999344252636, 0.1524843563367793, 0.1524843563367793, 0.0, 0.17388905249432132, 0.0, 0.0, 0.09654493029011217, 0.45745306901033783, 0.0, 0.0, 0.0, 0.0, 0.1524843563367793, 0.17009086826901876, 0.0, 0.17388905249432132, 0.0, 0.0, 0.17388905249432132, 0.0, 0.0, 0.138385443409841, 0.0, 0.0, 0.0, 0.0, 0.16183455275054334, 0.45745306901033783, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17388905249432132, 0.0, 0.0, 0.0, 0.3049687126735586, 0.0, 0.17388905249432132, 0.14484468960006838, 0.1524843563367793, 0.14484468960006838, 0.0, 0.0, 0.0]",부산광역시 강서구 대항동 가덕해안로 1237
16,가덕도대항인공동굴,"[0.0, 0.0, 0.0, 0.1018431239835886, 0.18028999553059943, 0.18028999553059943, 0.0, 0.0, 0.0, 0.2164418770448769, 0.20143749054696614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18979918420448114, 0.0, 0.2164418770448769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2164418770448769, 0.0, 0.11749542117592619, 0.2164418770448769, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1722500910647709, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18979918420448114, 0.20143749054696614, 0.0, 0.0, 0.0, 0.0, 0.0, 0.2164418770448769, 0.0, 0.1486762915918004, 0.0, 0.0, 0.0, 0.3795983684089623, 0.0, 0.16528560903268866, 0.0, 0.0, 0.16528560903268866, 0.0, 0.2164418770448769, 0.18979918420448114, 0.0, 0.0, 0.0, 0.0, 0.13996339533455798, 0.0, 0.2164418770448769, 0.3795983684089623, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",부산광역시 강서구 가덕해안로 1169번길
17,국립일제강제동원역사관,"[0.0, 0.17309176250576994, 0.0, 0.18222128864901468, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15278859940350215, 0.20780024907924702, 0.19339492560803778, 0.0, 0.0, 0.1586864390345607, 0.18222128864901468, 0.0, 0.1955538994555145, 0.12397795246108363, 0.0, 0.20780024907924702, 0.17309176250576994, 0.0, 0.0, 0.0, 0.0, 0.20780024907924702, 0.0, 0.0, 0.0, 0.0, 0.14751280207553763, 0.0, 0.19339492560803778, 0.17309176250576994, 0.20780024907924702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20780024907924702, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14751280207553763, 0.19339492560803778, 0.0, 0.0, 0.14274026286765723, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20780024907924702, 0.0]",부산광역시 남구 홍곡로 320번길 100
18,UN기념관,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.22072959268488015, 0.1685599185174931, 0.0, 0.0, 0.0, 0.18386154205443772, 0.20542796914793554, 0.0, 0.22072959268488015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1079541452837124, 0.0, 0.0, 0.0, 0.20542796914793554, 0.0, 0.0, 0.0, 0.0, 0.19355910784626637, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18386154205443772, 0.0, 0.22072959268488015, 0.0, 0.22072959268488015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19355910784626637, 0.0, 0.0, 0.0, 0.22072959268488015, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.20542796914793554, 0.0, 0.20542796914793554, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.18386154205443772, 0.22072959268488015, 0.22072959268488015, 0.0, 0.20542796914793554, 0.0]",부산광역시 남구 대연동 유엔평화로 93
19,만벵듸 공동장지,"[0.0, 0.0, 0.0, 0.0, 0.1542666849686808, 0.0, 0.16372617208729162, 0.17592157205554332, 0.17592157205554332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.13434232125587986, 0.0, 0.1542666849686808, 0.0, 0.0, 0.32745234417458324, 0.0, 0.32745234417458324, 0.0, 0.0, 0.0, 0.0, 0.3085333699373616, 0.35184314411108664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1542666849686808, 0.35184314411108664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.17592157205554332, 0.0, 0.0, 0.21538876654821795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3085333699373616, 0.0, 0.0, 0.0, 0.07831053244269721, 0.0, 0.12488283413726903, 0.0, 0.0, 0.21538876654821795, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.14653772122413156, 0.0, 0.14653772122413156, 0.0, 0.0, 0.17592157205554332, 0.0, 0.0, 0.17592157205554332, 0.16372617208729162, 0.0, 0.13434232125587986, 0.0, 0.0, 0.0, 0.0, 0.12934927036097152, 0.16372617208729162, 0.0]","제주특별자치도 제주시 한림읍 금악리 2754번지 일대,갯거리오름길 112"
